District,Region,Median monthly household income
Central and Western,Hong Kong Island,41400
Wan Chai,Hong Kong Island,44100
Eastern,Hong Kong Island,34300
Southern,Hong Kong Island,32800
Yau Tsim Mong,Kowloon,30000
Sham Shui Po,Kowloon,24300
Kowloon City,Kowloon,22500
Wong Tai Sin,Kowloon,25500
Kwun Tong,Kowloon,22500
Kwai Tsing,New Territories,24700
Tsuen Wan,New Territories,32600
Tuen Mun,New Territories,25000
Yuen Long,New Territories,27000
North,New Territories,30400
Tai Po,New Territories,25800
Sha Tin,New Territories,29700
Sai Kung,New Territories,36500
Islands,New Territories,28400
